"","2020-04-11","2020-04-13","2020-04-20","2020-04-21","2020-04-23","2020-04-25","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","county","population_2015","primary_city","zip"
"1",0.0296610169491525,0.0431177446102819,0.134387351778656,0.136186770428016,0.145522388059701,0.144366197183099,0.154838709677419,0.151419558359621,0.156156156156156,0.132022471910112,0.142857142857143,0.143222506393862,0.14,0.144963144963145,"Lake County",23150,"Antioch",60002
"2",0.044420941300899,0.0546244568590937,0.0846774193548387,0.0833333333333333,0.0776699029126214,0.0804597701149425,0.0857142857142857,0.0892307692307692,0.0779122541603631,0.080945558739255,0.0861948142957253,0.0948051948051948,0.0979020979020979,0.0988943488943489,"Cook County",52270,"Arlington Heights",60004
"3",0.0520231213872832,0.0706401766004415,0.179824561403509,0.184100418410042,0.176895306859206,0.170418006430868,0.160818713450292,0.171830985915493,0.17027027027027,0.16624685138539,0.170316301703163,0.172340425531915,0.17047817047817,0.172764227642276,"Cook County",29710,"Arlington Heights",60005
"4",0.0651465798045603,0.0786713286713287,0.225092250922509,0.226618705035971,0.227272727272727,0.220588235294118,0.218274111675127,0.212345679012346,0.210161662817552,0.20479302832244,0.212058212058212,0.208487084870849,0.206039076376554,0.199318568994889,"Cook County",33970,"Elk Grove Village",60007
"5",0.0626865671641791,0.0809061488673139,0.229813664596273,0.24,0.258373205741627,0.273858921161826,0.292592592592593,0.290657439446367,0.302931596091205,0.301204819277108,0.301724137931034,0.305489260143198,0.315294117647059,0.322869955156951,"Cook County",24150,"Rolling Meadows",60008
"6",0.0397111913357401,0.0501043841336117,0.144230769230769,0.148837209302326,0.14410480349345,0.137254901960784,0.131756756756757,0.127450980392157,0.124610591900312,0.10498687664042,0.109947643979058,0.10981308411215,0.106334841628959,0.103004291845494,"Lake County",44190,"Barrington",60010
"7",0.0774193548387097,0.0939597315436242,0.339285714285714,0.350877192982456,0.359375,0.4,0.348623853211009,0.373913043478261,0.376068376068376,0.3671875,0.360902255639098,0.36734693877551,0.348101265822785,0.345679012345679,"McHenry County",10830,"Crystal Lake",60012
"8",0.0710059171597633,0.0920634920634921,0.251968503937008,0.25,0.24822695035461,0.237179487179487,0.221590909090909,0.205405405405405,0.205263157894737,0.184834123222749,0.195348837209302,0.18595041322314,0.18,0.182835820895522,"McHenry County",26590,"Cary",60013
"9",0.0408163265306122,0.0502793296089385,0.1625,0.193548387096774,0.197761194029851,0.176638176638177,0.165829145728643,0.155813953488372,0.153333333333333,0.135135135135135,0.141242937853107,0.144295302013423,0.144,0.134556574923547,"McHenry County",49550,"Crystal Lake",60014
"10",0.0515179392824287,0.0667396061269147,0.204134366925065,0.206106870229008,0.198564593301435,0.189130434782609,0.184959349593496,0.179133858267717,0.175373134328358,0.168738898756661,0.171075837742504,0.171717171717172,0.175206611570248,0.183441558441558,"Lake County",27390,"Deerfield",60015
"11",0.0808960796515246,0.103092783505155,0.361256544502618,0.35964035964036,0.357271095152603,0.357723577235772,0.347889374090247,0.345213137665968,0.342087542087542,0.337670787247886,0.348076923076923,0.335365853658537,0.344138303619665,0.344773790951638,"Cook County",60340,"Des Plaines",60016
"12",0.0759312320916905,0.0909090909090909,0.301546391752577,0.31,0.304635761589404,0.30812854442344,0.313953488372093,0.321928460342146,0.322485207100592,0.312944523470839,0.319119669876204,0.3189448441247,0.317273795534665,0.307954545454545,"Cook County",32290,"Des Plaines",60018
"13",0.0363636363636364,0.043956043956044,0.12987012987013,0.12987012987013,0.148148148148148,0.145631067961165,0.131578947368421,0.117647058823529,0.112903225806452,0.10077519379845,0.114503816793893,0.121019108280255,0.115853658536585,0.111764705882353,"Lake County",8840,"Fox Lake",60020
"14",0,0.0779220779220779,0.21875,0.1875,0.1875,0.142857142857143,0.113207547169811,0.107142857142857,0.137931034482759,0.136363636363636,0.136363636363636,0.130434782608696,0.128571428571429,0.121621621621622,"McHenry County",5460,"Fox River Grove",60021
"15",0.0416666666666667,0.0551470588235294,0.133928571428571,0.132743362831858,0.142857142857143,0.125,0.112582781456954,0.111111111111111,0.12962962962963,0.121387283236994,0.12,0.123655913978495,0.122994652406417,0.118556701030928,"Cook County",8420,"Glencoe",60022
"16",0.0651056539120503,0.0825503355704698,0.22354694485842,0.219476744186047,0.214864864864865,0.210526315789474,0.204651162790698,0.200902934537246,0.197624190064795,0.19022869022869,0.198364008179959,0.198681732580038,0.2,0.19672131147541,"Cook County",40350,"Glenview",60025
"17",0.0710900473933649,0.0915619389587074,0.26457399103139,0.28695652173913,0.28,0.272401433691756,0.26,0.259016393442623,0.260450160771704,0.253869969040248,0.258358662613982,0.243169398907104,0.241192411924119,0.232984293193717,"Cook County",13620,"Glenview",60026
"18",0.0321046373365042,0.0431654676258993,0.151815181518152,0.15210355987055,0.145015105740181,0.129533678756477,0.133016627078385,0.13302752293578,0.142231947483589,0.136554621848739,0.144628099173554,0.141025641025641,0.14795008912656,0.147110332749562,"Lake County",35670,"Grayslake",60030
"19",0.0491803278688525,0.0625662778366914,0.197674418604651,0.20137299771167,0.206611570247934,0.210227272727273,0.208480565371025,0.207547169811321,0.208609271523179,0.2048,0.211598746081505,0.21191135734072,0.217391304347826,0.222074468085106,"Lake County",37920,"Gurnee",60031
"20",0,0,0.2,0.202020202020202,0.226415094339623,0.239130434782609,0.258278145695364,0.25974025974026,0.265822784810127,0.270718232044199,0.289617486338798,0.28125,0.272727272727273,0.267489711934156,"McHenry County",14220,"Harvard",60033
