regions,county,primary_city,zip
,DuPage County,Hinsdale,60521
,DuPage County,Oak Brook,60523
,Cook County,La Grange,60525
,Cook County,La Grange Park,60526
,DuPage County,Willowbrook,60527
,DuPage County,Lisle,60532
,Cook County,Lyons,60534
,Kendall County,Montgomery,60538
,DuPage County,Naperville,60540
,Kane County,North Aurora,60542
,Kendall County,Oswego,60543
,Will County,Plainfield,60544
,Kendall County,Plano,60545
,Cook County,Riverside,60546
,DeKalb County,Sandwich,60548
,LaSalle County,Sheridan,60551
,Kane County,Sugar Grove,60554
,DuPage County,Warrenville,60555
,Cook County,Western Springs,60558
,DuPage County,Westmont,60559
,Kendall County,Yorkville,60560
,DuPage County,Darien,60561
,DuPage County,Naperville,60563
,Will County,Naperville,60564
,DuPage County,Naperville,60565
,Will County,Plainfield,60585
,Will County,Plainfield,60586
,Cook County,Chicago,60601
,Cook County,Chicago,60602
,Cook County,Chicago,60604
,Cook County,Chicago,60605
,Cook County,Chicago,60606
,Cook County,Chicago,60607
,Cook County,Chicago,60608
,Cook County,Chicago,60609
,Cook County,Chicago,60610
,Cook County,Chicago,60611
,Cook County,Chicago,60612
,Cook County,Chicago,60613
,Cook County,Chicago,60614
,Cook County,Chicago,60615
,Cook County,Chicago,60616
,Cook County,Chicago,60617
,Cook County,Chicago,60618
,Cook County,Chicago,60619
,Cook County,Chicago,60620
,Cook County,Chicago,60621
,Cook County,Chicago,60622
,Cook County,Chicago,60623
,Cook County,Chicago,60624
,Cook County,Chicago,60625
,Cook County,Chicago,60626
,Cook County,Chicago,60628
,Cook County,Chicago,60629
,Cook County,Chicago,60630
,Cook County,Chicago,60631
,Cook County,Chicago,60632
,Cook County,Chicago,60633
,Cook County,Chicago,60634
,Cook County,Chicago,60636
,Cook County,Chicago,60637
,Cook County,Chicago,60638
,Cook County,Chicago,60639
,Cook County,Chicago,60640
,Cook County,Chicago,60641
,Cook County,Chicago,60642
,Cook County,Chicago,60643
,Cook County,Chicago,60644
,Cook County,Chicago,60645
,Cook County,Chicago,60646
,Cook County,Chicago,60647
,Cook County,Chicago,60649
,Cook County,Chicago,60651
,Cook County,Chicago,60652
,Cook County,Chicago,60653
,Cook County,Chicago,60654
,Cook County,Chicago,60655
,Cook County,Chicago,60656
,Cook County,Chicago,60657
,Cook County,Chicago,60659
,Cook County,Chicago,60660
,Cook County,Chicago,60661
,Cook County,Harwood Heights,60706
,Cook County,Elmwood Park,60707
,Cook County,Lincolnwood,60712
,Cook County,Niles,60714
,Cook County,Alsip,60803
,Cook County,Cicero,60804
,Cook County,Evergreen Park,60805
,Cook County,Riverdale,60827
,Kankakee County,Kankakee,60901
,Kankakee County,Bourbonnais,60914
,Kankakee County,Bradley,60915
,Kankakee County,Chebanse,60922
,Iroquois County,Clifton,60927
,Kankakee County,Manteno,60950
,Kankakee County,Momence,60954
,Kankakee County,Pembroke Township,60958
,Kankakee County,Saint Anne,60964
,Boone County,Belvidere,61008
,Winnebago County,Cherry Valley,61016
,Lee County,Dixon,61021
,Stephenson County,Freeport,61032
,Ogle County,Polo,61064
,Boone County,Poplar Grove,61065
,Ogle County,Rochelle,61068
,Whiteside County,Rock Falls,61071
,Winnebago County,Rockton,61072
,Winnebago County,Roscoe,61073
,Winnebago County,South Beloit,61080
,Whiteside County,Sterling,61081
,Ogle County,Stillman Valley,61084
,Winnebago County,Rockford,61101
,Winnebago County,Rockford,61102
,Winnebago County,Rockford,61103
,Winnebago County,Rockford,61104
,Winnebago County,Rockford,61107
,Winnebago County,Rockford,61108
,Winnebago County,Rockford,61109
,Winnebago County,Loves Park,61111
,Winnebago County,Rockford,61114
,Winnebago County,Machesney Park,61115
,Rock Island County,Rock Island,61201
,Henry County,Atkinson,61235
,Rock Island County,Coal Valley,61240
,Henry County,Colona,61241
,Rock Island County,East Moline,61244
,Whiteside County,Fulton,61252
,Henry County,Geneseo,61254
,Rock Island County,Milan,61264
,Rock Island County,Moline,61265
,Whiteside County,Morrison,61270
,Rock Island County,Port Byron,61275
,Rock Island County,Silvis,61282
,LaSalle County,Marseilles,61341
,LaSalle County,Mendota,61342
,LaSalle County,Ottawa,61350
,Bureau County,Princeton,61356
,Knox County,Galesburg,61401
,Henry County,Kewanee,61443
,McDonough County,Macomb,61455
,Warren County,Monmouth,61462
,Peoria County,Dunlap,61525
,Woodford County,Metamora,61548
,Tazewell County,Pekin,61554
,Peoria County,Peoria,61603
,Peoria County,Peoria,61604
,Peoria County,Peoria,61605
,Tazewell County,East Peoria,61611
,Peoria County,Peoria,61614
,Peoria County,Peoria,61615
,McLean County,Bloomington,61701
,McLean County,Bloomington,61704
,McLean County,Bloomington,61705
,McLean County,Normal,61761
,Livingston County,Pontiac,61764
,Champaign County,Urbana,61801
,Champaign County,Urbana,61802
,Champaign County,Champaign,61820
,Champaign County,Champaign,61821
,Champaign County,Champaign,61822
,Vermilion County,Danville,61832
,Champaign County,Mahomet,61853
,Champaign County,Rantoul,61866
,Champaign County,Savoy,61874
,Douglas County,Arcola,61910
,Coles County,Charleston,61920
,Coles County,Mattoon,61938
,Douglas County,Tuscola,61953
,Madison County,Alton,62002
,Madison County,Bethalto,62010
,Madison County,East Alton,62024
,Madison County,Edwardsville,62025
,Madison County,Glen Carbon,62034
,Madison County,Godfrey,62035
,Madison County,Granite City,62040
,Jersey County,Jerseyville,62052
,Montgomery County,Litchfield,62056
,Madison County,Madison,62060
,Madison County,Maryville,62062
,Macoupin County,Mount Olive,62069
,Macoupin County,Staunton,62088
,Madison County,Venice,62090
,Madison County,Wood River,62095
,St. Clair County,East Saint Louis,62201
,St. Clair County,East Saint Louis,62203
,St. Clair County,East Saint Louis,62204
,St. Clair County,East Saint Louis,62205
,St. Clair County,East Saint Louis,62206
,St. Clair County,East Saint Louis,62207
,St. Clair County,Fairview Heights,62208
,St. Clair County,Belleville,62220
,St. Clair County,Belleville,62221
,St. Clair County,Belleville,62223
,St. Clair County,Belleville,62226
,Clinton County,Breese,62230
,Clinton County,Carlyle,62231
,St. Clair County,Caseyville,62232
,Randolph County,Chester,62233
,Madison County,Collinsville,62234
,Monroe County,Columbia,62236
