regions,county,primary_city,zip
,Woodford County,Washburn,61570
,Tazewell County,Washington,61571
,Knox County,Yates City,61572
,Peoria County,Peoria,61601
,Peoria County,Peoria,61602
,Peoria County,Peoria,61606
,Peoria County,Peoria,61607
,Tazewell County,Creve Coeur,61610
,Peoria County,Peoria,61612
,Peoria County,Peoria,61613
,Peoria County,Peoria Heights,61616
,Peoria County,Peoria,61625
,Peoria County,Peoria,61629
,Peoria County,Peoria,61630
,Peoria County,Peoria,61633
,Peoria County,Peoria,61634
,Peoria County,East Peoria,61635
,Peoria County,Peoria,61636
,Peoria County,Peoria,61637
,Peoria County,Peoria,61638
,Peoria County,Peoria,61639
,Peoria County,Peoria,61641
,Peoria County,Peoria,61643
,Peoria County,Peoria,61650
,Peoria County,Peoria,61651
,Peoria County,Peoria,61652
,Peoria County,Peoria,61653
,Peoria County,Peoria,61654
,Peoria County,Peoria,61655
,Peoria County,Peoria,61656
,Mclean County,Bloomington,61702
,Mclean County,Bloomington,61709
,Mclean County,Bloomington,61710
,McLean County,Anchor,61720
,Tazewell County,Armington,61721
,McLean County,Arrowsmith,61722
,Logan County,Atlanta,61723
,McLean County,Bellflower,61724
,McLean County,Carlock,61725
,McLean County,Chenoa,61726
,De Witt County,Clinton,61727
,McLean County,Colfax,61728
,Woodford County,Congerville,61729
,McLean County,Cooksville,61730
,McLean County,Cropsey,61731
,McLean County,Danvers,61732
,Tazewell County,Deer Creek,61733
,Tazewell County,Delavan,61734
,De Witt County,Dewitt,61735
,McLean County,Downs,61736
,McLean County,Ellsworth,61737
,Woodford County,El Paso,61738
,Livingston County,Fairbury,61739
,Livingston County,Flanagan,61740
,Livingston County,Forrest,61741
,Woodford County,Goodfield,61742
,Livingston County,Graymont,61743
,McLean County,Gridley,61744
,McLean County,Heyworth,61745
,Tazewell County,Hopedale,61747
,McLean County,Hudson,61748
,De Witt County,Kenney,61749
,De Witt County,Lane,61750
,Logan County,Lawndale,61751
,McLean County,Le Roy,61752
,McLean County,Lexington,61753
,McLean County,Mc Lean,61754
,Tazewell County,Mackinaw,61755
,Macon County,Maroa,61756
,Mclean County,Merna,61758
,Tazewell County,Minier,61759
,Woodford County,Minonk,61760
,Livingston County,Saunemin,61769
,McLean County,Saybrook,61770
,Woodford County,Secor,61771
,McLean County,Shirley,61772
,Ford County,Sibley,61773
,McLean County,Stanford,61774
,Livingston County,Strawn,61775
,McLean County,Towanda,61776
,De Witt County,Wapella,61777
,De Witt County,Waynesville,61778
,Mclean County,Normal,61790
,Mclean County,Bloomington,61791
,Mclean County,Bloomington,61799
,Champaign County,Urbana,61803
,Vermilion County,Allerton,61810
,Vermilion County,Alvin,61811
,Vermilion County,Armstrong,61812
,Piatt County,Bement,61813
,Vermilion County,Bismarck,61814
,Champaign County,Bondville,61815
,Champaign County,Broadlands,61816
,Vermilion County,Catlin,61817
,Piatt County,Cerro Gordo,61818
,Champaign County,Champaign,61824
,Champaign County,Champaign,61825
,Champaign County,Champaign,61826
,Piatt County,Cisco,61830
,Vermilion County,Collison,61831
,Vermilion County,Tilton,61833
,Vermilion County,Danville,61834
,Piatt County,De Land,61839
,Champaign County,Dewey,61840
,Vermilion County,Fairmount,61841
,De Witt County,Farmer City,61842
,Champaign County,Fisher,61843
,Vermilion County,Fithian,61844
,Champaign County,Foosland,61845
,Vermilion County,Georgetown,61846
,Champaign County,Gifford,61847
,Vermilion County,Henning,61848
,Champaign County,Homer,61849
,Vermilion County,Indianola,61850
,Champaign County,Ivesdale,61851
,Champaign County,Longview,61852
,Piatt County,Mansfield,61854
,Piatt County,Milmine,61855
,Piatt County,Monticello,61856
,Vermilion County,Muncie,61857
,Vermilion County,Oakwood,61858
,Champaign County,Ogden,61859
,Champaign County,Penfield,61862
,Champaign County,Pesotum,61863
,Champaign County,Philo,61864
,Vermilion County,Potomac,61865
,Vermilion County,Ridge Farm,61870
,Champaign County,Royal,61871
,Champaign County,Sadorus,61872
,Champaign County,Saint Joseph,61873
,Champaign County,Seymour,61875
,Vermilion County,Sidell,61876
,Champaign County,Sidney,61877
,Champaign County,Thomasboro,61878
,Champaign County,Tolono,61880
,De Witt County,Weldon,61882
,Vermilion County,Westville,61883
,Piatt County,White Heath,61884
,Douglas County,Arthur,61911
,Coles County,Ashmore,61912
,Douglas County,Atwood,61913
,Moultrie County,Bethany,61914
,Edgar County,Brocton,61917
,Douglas County,Camargo,61919
,Edgar County,Chrisman,61924
,Moultrie County,Dalton City,61925
,Moultrie County,Gays,61928
,Piatt County,Hammond,61929
,Douglas County,Hindsboro,61930
,Coles County,Humboldt,61931
,Edgar County,Hume,61932
,Edgar County,Kansas,61933
,Piatt County,La Place,61936
,Moultrie County,Lovington,61937
,Edgar County,Metcalf,61940
,Douglas County,Murdock,61941
,Douglas County,Newman,61942
,Coles County,Oakland,61943
,Edgar County,Paris,61944
,Edgar County,Redmon,61949
,Moultrie County,Sullivan,61951
,Edgar County,Vermilion,61955
,Douglas County,Villa Grove,61956
,Shelby County,Windsor,61957
,Madison County,Alhambra,62001
,Calhoun County,Batchtown,62006
,Macoupin County,Benld,62009
,Fayette County,Bingham,62011
,Macoupin County,Brighton,62012
,Calhoun County,Brussels,62013
,Macoupin County,Bunker Hill,62014
,Montgomery County,Butler,62015
,Greene County,Carrollton,62016
,Montgomery County,Coffeen,62017
,Madison County,Cottage Hills,62018
,Montgomery County,Donnellson,62019
,Madison County,Dorsey,62021
,Jersey County,Dow,62022
,Macoupin County,Eagarville,62023
,Madison County,Edwardsville,62026
,Greene County,Eldred,62027
,Jersey County,Elsah,62028
,Jersey County,Fidelity,62030
,Jersey County,Fieldon,62031
,Montgomery County,Fillmore,62032
,Macoupin County,Gillespie,62033
,Calhoun County,Golden Eagle,62036
,Jersey County,Grafton,62037
,Greene County,Greenfield,62044
,Calhoun County,Hamburg,62045
,Madison County,Hamel,62046
,Calhoun County,Hardin,62047
,Madison County,Hartford,62048
,Montgomery County,Hillsboro,62049
,Greene County,Hillview,62050
,Montgomery County,Irving,62051
,Calhoun County,Kampsville,62053
,Greene County,Kane,62054
,Madison County,Livingston,62058
,St. Clair County,Lovejoy,62059
,Madison County,Marine,62061
,Macoupin County,Medora,62063
,Calhoun County,Michael,62065
,Madison County,Moro,62067
,Calhoun County,Mozier,62070
,St. Clair County,National Stock Yards,62071
,Madison County,New Douglas,62074
,Montgomery County,Nokomis,62075
,Montgomery County,Ohlman,62076
,Montgomery County,Panama,62077
,Greene County,Patterson,62078
,Macoupin County,Piasa,62079
,Fayette County,Ramsey,62080
,Greene County,Rockbridge,62081
,Greene County,Roodhouse,62082
,Christian County,Rosamond,62083
,Madison County,Roxana,62084
,Macoupin County,Sawyerville,62085
,Bond County,Sorento,62086
,Madison County,South Roxana,62087
,Montgomery County,Taylor Springs,62089
,Montgomery County,Walshville,62091
,Greene County,White Hall,62092
,Macoupin County,Wilsonville,62093
,Montgomery County,Witt,62094
,Madison County,Worden,62097
,Greene County,Wrights,62098
,St. Clair County,East Saint Louis,62202
,Washington County,Addieville,62214
,Clinton County,Albers,62215
,Clinton County,Aviston,62216
,Randolph County,Baldwin,62217
,Clinton County,Bartelso,62218
,Clinton County,Beckemeyer,62219
,St. Clair County,Belleville,62222
,St. Clair County,Mascoutah,62224
,St. Clair County,Scott Air Force Base,62225
,Randolph County,Coulterville,62237
,Perry County,Cutler,62238
,St. Clair County,East Carondelet,62240
,Randolph County,Ellis Grove,62241
,Randolph County,Evansville,62242
,St. Clair County,Freeburg,62243
,Monroe County,Fults,62244
,Clinton County,Germantown,62245
,Bond County,Greenville,62246
,Fayette County,Hagarstown,62247
,Monroe County,Hecker,62248
,Clinton County,Hoffman,62250
,Clinton County,Huey,62252
,Bond County,Keyesport,62253
,St. Clair County,Lenzburg,62255
,Monroe County,Maeystown,62256
,Randolph County,Menard,62259
,St. Clair County,Millstadt,62260
,Randolph County,Modoc,62261
,Bond County,Mulberry Grove,62262
,Washington County,Nashville,62263
,St. Clair County,New Athens,62264
,Clinton County,New Memphis,62266
,Washington County,Oakdale,62268
,Washington County,Okawville,62271
,Bond County,Pierron,62273
,Bond County,Pocahontas,62275
,Randolph County,Prairie Du Rocher,62277
,Monroe County,Renault,62279
,Randolph County,Rockwood,62280
,Madison County,Saint Jacob,62281
,St. Clair County,Saint Libory,62282
,Bond County,Smithboro,62284
,St. Clair County,Summerfield,62289
,Randolph County,Tilden,62292
,Clinton County,Trenton,62293
,Randolph County,Walsh,62297
,Adams County,Quincy,62306
,Hancock County,Augusta,62311
,Pike County,Barry,62312
,Hancock County,Basco,62313
,Pike County,Baylis,62314
,Hancock County,Bowen,62316
,Schuyler County,Camden,62319
,Adams County,Camp Point,62320
,Hancock County,Carthage,62321
,Pike County,Chambersburg,62323
,Adams County,Clayton,62324
,Adams County,Coatsburg,62325
,McDonough County,Colchester,62326
,Hancock County,Colusa,62329
,Hancock County,Dallas City,62330
,Hancock County,Elvaston,62334
,Hancock County,Ferris,62336
,Adams County,Fowler,62338
,Adams County,Golden,62339
,Pike County,Griggsville,62340
,Hancock County,Hamilton,62341
,Pike County,Hull,62343
,Schuyler County,Huntsville,62344
,Pike County,Kinderhook,62345
,Adams County,La Prairie,62346
,Adams County,Liberty,62347
,Adams County,Lima,62348
,Adams County,Loraine,62349
,Adams County,Mendon,62351
,Pike County,Milton,62352
,Brown County,Mount Sterling,62353
,Hancock County,Nauvoo,62354
,Pike County,Nebo,62355
,Pike County,New Canton,62356
,Pike County,New Salem,62357
,Hancock County,Niota,62358
,Adams County,Paloma,62359
,Adams County,Payson,62360
,Pike County,Pearl,62361
,Pike County,Perry,62362
,Pike County,Pittsfield,62363
,Adams County,Plainville,62365
,Pike County,Pleasant Hill,62366
,Hancock County,Plymouth,62367
,Pike County,Rockport,62370
,Hancock County,Sutter,62373
,McDonough County,Tennessee,62374
,Brown County,Timewell,62375
,Adams County,Ursa,62376
,Brown County,Versailles,62378
,Hancock County,Warsaw,62379
,Hancock County,West Point,62380
,Effingham County,Effingham,62401
,Wabash County,Allendale,62410
,Effingham County,Altamont,62411
,Crawford County,Annapolis,62413
,Fayette County,Beecher City,62414
,Lawrence County,Bridgeport,62417
,Fayette County,Brownstown,62418
,Richland County,Calhoun,62419
,Clark County,Casey,62420
,Richland County,Claremont,62421
,Shelby County,Cowden,62422
,Clark County,Dennison,62423
,Effingham County,Dieterich,62424
,Richland County,Dundas,62425
,Effingham County,Edgewood,62426
,Crawford County,Flat Rock,62427
,Cumberland County,Greenup,62428
,Shelby County,Herrick,62431
,Jasper County,Hidalgo,62432
,Crawford County,Hutsonville,62433
,Clay County,Ingraham,62434
,Coles County,Janesville,62435
,Cumberland County,Jewett,62436
,Shelby County,Lakewood,62438
,Lawrence County,Lawrenceville,62439
,Coles County,Lerna,62440
,Clark County,Marshall,62441
,Clark County,Martinsville,62442
,Effingham County,Mason,62443
,Shelby County,Mode,62444
,Cumberland County,Montrose,62445
,Wayne County,Mount Erie,62446
,Cumberland County,Neoga,62447
,Crawford County,Oblong,62449
,Richland County,Olney,62450
,Crawford County,Palestine,62451
,Richland County,Parkersburg,62452
,Fayette County,Saint Elmo,62458
,Jasper County,Sainte Marie,62459
,Lawrence County,Saint Francisville,62460
,Effingham County,Shumway,62461
,Shelby County,Sigel,62462
,Shelby County,Stewardson,62463
,Crawford County,Stoy,62464
,Shelby County,Strasburg,62465
,Lawrence County,Sumner,62466
,Effingham County,Teutopolis,62467
,Cumberland County,Toledo,62468
,Cumberland County,Trilla,62469
,Effingham County,Watson,62473
,Clark County,Westfield,62474
,Jasper County,West Liberty,62475
,Edwards County,West Salem,62476
,Clark County,West Union,62477
,Crawford County,West York,62478
,Jasper County,Wheeler,62479
,Jasper County,Willow Hill,62480
,Jasper County,Yale,62481
,Macon County,Argenta,62501
,Christian County,Assumption,62510
,Logan County,Beason,62512
,Macon County,Blue Mound,62513
,Macon County,Boody,62514
,Sangamon County,Buffalo,62515
,Christian County,Bulpitt,62517
,Logan County,Chestnut,62518
,Logan County,Cornland,62519
,Sangamon County,Dawson,62520
,Macon County,Decatur,62523
,Macon County,Decatur,62524
,Macon County,Decatur,62525
,Sangamon County,Divernon,62530
,Christian County,Edinburg,62531
,Macon County,Elwin,62532
,Montgomery County,Farmersville,62533
,Shelby County,Findlay,62534
,Macon County,Forsyth,62535
,Sangamon County,Glenarm,62536
,Macon County,Harristown,62537
,Montgomery County,Harvel,62538
,Sangamon County,Illiopolis,62539
,Christian County,Kincaid,62540
,Logan County,Lake Fork,62541
,Logan County,Latham,62543
,Macon County,Macon,62544
,Sangamon County,Mechanicsburg,62545
,Christian County,Morrisonville,62546
,Christian County,Mount Auburn,62547
,Logan County,Mount Pulaski,62548
,Macon County,Mt Zion,62549
,Shelby County,Moweaqua,62550
,Macon County,Niantic,62551
,Shelby County,Oconee,62553
,Macon County,Oreana,62554
,Christian County,Owaneco,62555
,Christian County,Palmer,62556
,Christian County,Pana,62557
,Sangamon County,Pawnee,62558
,Montgomery County,Raymond,62560
,Sangamon County,Riverton,62561
,Sangamon County,Rochester,62563
,Christian County,Stonington,62567
,Christian County,Tovey,62570
,Shelby County,Tower Hill,62571
,Montgomery County,Waggoner,62572
,Macon County,Warrensburg,62573
,Morgan County,Alexander,62601
,Scott County,Alsey,62610
,Cass County,Arenzville,62611
,Cass County,Ashland,62612
,Menard County,Athens,62613
,Sangamon County,Auburn,62615
,Mason County,Bath,62617
,Scott County,Bluffs,62621
,Cass County,Bluff Springs,62622
,Schuyler County,Browning,62624
,Sangamon County,Cantrall,62625
,Macoupin County,Carlinville,62626
,Cass County,Chandlerville,62627
,Morgan County,Chapin,62628
,Macoupin County,Chesterfield,62630
,Morgan County,Concord,62631
,Mason County,Easton,62633
,Logan County,Elkhart,62634
,Logan County,Emden,62635
,Morgan County,Franklin,62638
,Schuyler County,Frederick,62639
,Macoupin County,Girard,62640
,Menard County,Greenview,62642
,Logan County,Hartsburg,62643
,Mason County,Havana,62644
,Macoupin County,Hettick,62649
,Morgan County,Jacksonville,62651
,Mason County,Kilbourne,62655
,Menard County,Lincolns New Salem,62659
,Morgan County,Literberry,62660
,Sangamon County,Loami,62661
,Sangamon County,Lowder,62662
,Scott County,Manchester,62663
,Morgan County,Meredosia,62665
,Logan County,Middletown,62666
,Macoupin County,Modesto,62667
,Morgan County,Murrayville,62668
,Sangamon County,New Berlin,62670
,Logan County,New Holland,62671
,Macoupin County,Nilwood,62672
,Menard County,Oakford,62673
,Macoupin County,Palmyra,62674
,Menard County,Petersburg,62675
,Sangamon County,Pleasant Plains,62677
,Schuyler County,Rushville,62681
,Mason County,San Jose,62682
,Macoupin County,Scottville,62683
,Macoupin County,Shipman,62685
,Menard County,Tallula,62688
,Sangamon County,Thayer,62689
,Macoupin County,Virden,62690
,Cass County,Virginia,62691
,Morgan County,Waverly,62692
,Sangamon County,Williamsville,62693
,Scott County,Winchester,62694
,Morgan County,Woodson,62695
,Sangamon County,Springfield,62701
,Sangamon County,Springfield,62705
,Sangamon County,Springfield,62706
,Sangamon County,Springfield,62708
,Sangamon County,Springfield,62712
,Sangamon County,Springfield,62713
,Sangamon County,Springfield,62715
,Sangamon County,Springfield,62716
,Sangamon County,Springfield,62719
,Sangamon County,Springfield,62721
,Sangamon County,Springfield,62722
,Sangamon County,Springfield,62723
,Sangamon County,Springfield,62726
,Sangamon County,Springfield,62736
,Sangamon County,Springfield,62739
,Sangamon County,Springfield,62746
,Sangamon County,Springfield,62756
,Sangamon County,Springfield,62757
,Sangamon County,Springfield,62761
,Sangamon County,Springfield,62762
,Sangamon County,Springfield,62763
,Sangamon County,Springfield,62764
,Sangamon County,Springfield,62765
,Sangamon County,Springfield,62766
,Sangamon County,Springfield,62767
,Sangamon County,Springfield,62769
,Sangamon County,Springfield,62776
,Sangamon County,Springfield,62777
,Sangamon County,Springfield,62781
,Sangamon County,Springfield,62786
,Sangamon County,Springfield,62791
,Sangamon County,Springfield,62794
,Sangamon County,Springfield,62796
,Washington County,Hoyleton,62803
,Franklin County,Akin,62805
,Edwards County,Albion,62806
,Marion County,Alma,62807
,Washington County,Ashley,62808
,Wayne County,Barnhill,62809
,Jefferson County,Belle Rive,62810
,Wabash County,Bellmont,62811
,Franklin County,Benton,62812
,Jefferson County,Bluford,62814
,Edwards County,Bone Gap,62815
,Jefferson County,Bonnie,62816
,Hamilton County,Broughton,62817
,Edwards County,Browns,62818
,Franklin County,Buckner,62819
,White County,Burnt Prairie,62820
,White County,Carmi,62821
,Franklin County,Christopher,62822
,Wayne County,Cisne,62823
,Clay County,Clay City,62824
,Franklin County,Coello,62825
,White County,Crossville,62827
,Hamilton County,Dahlgren,62828
,Hamilton County,Dale,62829
,Jefferson County,Dix,62830
,Washington County,Du Bois,62831
,Wayne County,Ellery,62833
,White County,Emma,62834
,White County,Enfield,62835
,Franklin County,Ewing,62836
,Wayne County,Fairfield,62837
,Fayette County,Farina,62838
,Clay County,Flora,62839
,Franklin County,Frankfort Heights,62840
,Williamson County,Freeman Spur,62841
,Wayne County,Geff,62842
,Wayne County,Golden Gate,62843
,White County,Grayville,62844
,Jefferson County,Ina,62846
,Washington County,Irvington,62848
,Marion County,Iuka,62849
,Wayne County,Johnsonville,62850
,Wayne County,Keenes,62851
,Wabash County,Keensburg,62852
,Marion County,Kell,62853
,Marion County,Kinmundy,62854
,Wabash County,Lancaster,62855
,Franklin County,Logan,62856
,Fayette County,Loogootee,62857
,Clay County,Louisville,62858
,Hamilton County,Mc Leansboro,62859
,Franklin County,Macedonia,62860
,White County,Maunie,62861
,White County,Mill Shoals,62862
,Wabash County,Mount Carmel,62863
,Franklin County,Mulkeytown,62865
,Jefferson County,Nason,62866
,Gallatin County,New Haven,62867
,Richland County,Noble,62868
,White County,Norris City,62869
,Marion County,Odin,62870
,Gallatin County,Omaha,62871
,Jefferson County,Opdyke,62872
,Franklin County,Orient,62874
,Marion County,Patoka,62875
,Washington County,Radom,62876
,Washington County,Richview,62877
,Wayne County,Rinard,62878
,Clay County,Sailor Springs,62879
,Fayette County,Saint Peter,62880
,Marion County,Salem,62881
,Marion County,Sandoval,62882
,Jefferson County,Scheller,62883
,Franklin County,Sesser,62884
,Fayette County,Shobonier,62885
,Wayne County,Sims,62886
,White County,Springerton,62887
,Perry County,Tamaroa,62888
,Jefferson County,Texico,62889
,Franklin County,Thompsonville,62890
,Franklin County,Valier,62891
,Marion County,Vernon,62892
,Marion County,Walnut Hill,62893
,Jefferson County,Waltonville,62894
,Wayne County,Wayne City,62895
,Franklin County,West Frankfort,62896
,Franklin County,Whittington,62897
,Jefferson County,Woodlawn,62898
,Clay County,Xenia,62899
,Jackson County,Carbondale,62903
,Union County,Alto Pass,62905
,Massac County,Belknap,62908
,Johnson County,Boles,62909
,Massac County,Brookport,62910
,Johnson County,Buncombe,62912
,Alexander County,Cairo,62914
,Williamson County,Cambria,62915
,Jackson County,Campbell Hill,62916
,Saline County,Carrier Mills,62917
,Hardin County,Cave In Rock,62919
,Williamson County,Colp,62921
,Williamson County,Creal Springs,62922
,Johnson County,Cypress,62923
,Jackson County,De Soto,62924
,Union County,Dongola,62926
,Jackson County,Dowell,62927
,Pope County,Eddyville,62928
,Saline County,Eldorado,62930
,Hardin County,Elizabethtown,62931
,Jackson County,Elkville,62932
,Williamson County,Energy,62933
,Gallatin County,Equality,62934
,Saline County,Galatia,62935
,Pope County,Golconda,62938
,Johnson County,Goreville,62939
,Jackson County,Gorham,62940
,Pulaski County,Grand Chain,62941
,Jackson County,Grand Tower,62942
,Johnson County,Grantsburg,62943
,Saline County,Harrisburg,62946
,Hardin County,Herod,62947
,Williamson County,Hurst,62949
,Jackson County,Jacob,62950
,Williamson County,Johnston City,62951
,Union County,Jonesboro,62952
,Massac County,Joppa,62953
,Gallatin County,Junction,62954
,Hardin County,Karbers Ridge,62955
,Pulaski County,Karnak,62956
,Alexander County,Mc Clure,62957
,Jackson County,Makanda,62958
,Massac County,Metropolis,62960
,Union County,Millcreek,62961
,Alexander County,Miller City,62962
,Pulaski County,Mound City,62963
,Pulaski County,Mounds,62964
,Saline County,Muddy,62965
,Johnson County,New Burnside,62967
,Alexander County,Olive Branch,62969
,Pulaski County,Olmsted,62970
,Jackson County,Oraville,62971
,Johnson County,Ozark,62972
,Pulaski County,Perks,62973
,Williamson County,Pittsburg,62974
,Jackson County,Pomona,62975
,Pulaski County,Pulaski,62976
,Saline County,Raleigh,62977
,Gallatin County,Ridgway,62979
,Hardin County,Rosiclare,62982
,Franklin County,Royalton,62983
,Gallatin County,Shawneetown,62984
,Johnson County,Simpson,62985
,Saline County,Stonefort,62987
,Alexander County,Tamms,62988
,Alexander County,Thebes,62990
,Alexander County,Unity,62993
,Jackson County,Vergennes,62994
,Johnson County,Vienna,62995
,Pulaski County,Villa Ridge,62996
,Perry County,Willisville,62997
,Union County,Wolf Lake,62998
,Franklin County,Zeigler,62999
